Country,Year,New businesses registered (number),"Air transport, passengers carried","Portfolio investment, bonds (PPG + PNG) (NFL, current US$)","Listed domestic companies, total","International tourism, receipts (current US$)","Next Year International tourism, receipts (current US$)","Next Year International tourism, receipts (current US$) category"
IDA blend,2016,,27424207.0,,,8116998101.97738,10347329182.873,green
IDA only,2016,,30511414.0,,,,,red
IDA total,2016,,57935621.0,,,37657460419.0844,,red
Iceland,2016,2667.0,5710834.0,,,2411000000.0,3024000000.0,green
India,2016,93714.0,119577835.0,-3796397000.0,5820.0,23111000000.0,27878000000.0,green
Indonesia,2016,58426.0,99274010.0,19114481000.0,537.0,12566000000.0,14117000000.0,green
"Iran, Islamic Rep.",2016,,17084581.0,0.0,325.0,3914000000.0,,red
Iraq,2016,2020.0,2019816.0,,,2479000000.0,,red
Ireland,2016,20750.0,134065078.0,,40.0,11427000000.0,14283000000.0,green
Isle of Man,2016,1832.0,,,,,,red
Israel,2016,17802.0,6866472.0,,427.0,6587000000.0,7572000000.0,green
Italy,2016,102135.0,29120041.0,,,40373000000.0,44548000000.0,green
Jamaica,2016,2543.0,136744.0,-90157000.0,64.0,2539000000.0,2809000000.0,green
Japan,2016,,117708000.0,,3535.0,33428000000.0,36979000000.0,green
Jordan,2016,3450.0,3181283.0,985500000.0,224.0,4943000000.0,5549000000.0,green
Kazakhstan,2016,26319.0,5007869.0,-481822000.0,85.0,1716000000.0,1990000000.0,green
Kenya,2016,,4848016.0,0.0,65.0,1471000000.0,1564000000.0,green
Kiribati,2016,,,,,3400000.0,,red
"Korea, Dem. People’s Rep.",2016,,94919.0,,,,,red
"Korea, Rep.",2016,96155.0,76859538.0,,2039.0,21174000000.0,16999000000.0,red
Kosovo,2016,3993.0,,0.0,,,,red
Kuwait,2016,,4069935.0,,,831000000.0,643000000.0,red
Kyrgyz Republic,2016,4936.0,1015750.0,0.0,,477000000.0,480000000.0,green
Lao PDR,2016,,1220201.0,559877000.0,,717000000.0,768000000.0,green
Latvia,2016,10318.0,2843133.0,,,1282000000.0,1082000000.0,red
Lebanon,2016,,2647258.0,1114249000.0,10.0,7373000000.0,8087000000.0,green
Lesotho,2016,,,0.0,,48000000.0,23000000.0,red
Liberia,2016,31.0,,0.0,,,,red
Libya,2016,,1283181.0,,,,,red
Liechtenstein,2016,34.0,,,,,,red
Lithuania,2016,6352.0,1046012.0,,,1405000000.0,1587000000.0,green
Luxembourg,2016,6207.0,1845726.0,,28.0,4764000000.0,4980000000.0,green
"Macao SAR, China",2016,,2788571.0,,,31030000000.0,35726000000.0,green
Madagascar,2016,1011.0,441861.0,0.0,,913000000.0,849000000.0,red
Malawi,2016,,6744.0,0.0,,30000000.0,35000000.0,green
Malaysia,2016,46555.0,53817353.0,,890.0,18085000000.0,18352000000.0,green
Maldives,2016,,1409704.0,0.0,,2640000000.0,2886000000.0,green
Mali,2016,,,0.0,,,,red
Malta,2016,5166.0,1500824.0,,23.0,1451000000.0,1746000000.0,green
Marshall Islands,2016,,,,,30400000.0,,red
Mauritania,2016,1213.0,280215.0,0.0,,33000000.0,24000000.0,red
Mauritius,2016,8792.0,1593666.0,0.0,75.0,1824000000.0,2005000000.0,green
Mexico,2016,45256.0,53313307.0,15652927000.0,137.0,20619000000.0,22467000000.0,green
"Micronesia, Fed. Sts.",2016,,,,,,,red
Moldova,2016,4608.0,936254.0,0.0,,343000000.0,439000000.0,green
Monaco,2016,,12137.0,,,,,red
Mongolia,2016,,537853.0,500000000.0,,379000000.0,462000000.0,green
Montenegro,2016,2818.0,544597.0,135216000.0,,978000000.0,1109000000.0,green
Morocco,2016,38817.0,7738637.0,0.0,74.0,7921000000.0,9086000000.0,green
Mozambique,2016,,632965.0,0.0,,114000000.0,164000000.0,green
Myanmar,2016,6999.0,2741388.0,0.0,,2289000000.0,2279000000.0,red
Namibia,2016,1613.0,558713.0,,8.0,378000000.0,393000000.0,green
Nauru,2016,,47252.0,,,,,red
Nepal,2016,17735.0,634292.0,0.0,,498000000.0,712000000.0,green
Netherlands,2016,67127.0,40078714.0,,103.0,18306000000.0,20352000000.0,green
New Caledonia,2016,,,,,248000000.0,,red
New Zealand,2016,58167.0,15300409.0,,173.0,9763000000.0,10583000000.0,green
Nicaragua,2016,,,0.0,,642000000.0,841000000.0,green
Niger,2016,,15044.0,0.0,,84000000.0,,red
Nigeria,2016,75380.0,4110075.0,667312000.0,169.0,1087000000.0,2611000000.0,green
North Macedonia,2016,5686.0,,497914000.0,,283000000.0,331000000.0,green
Northern Mariana Islands,2016,,,,,,,red
Norway,2016,27920.0,,,171.0,6285000000.0,6515000000.0,green
Oman,2016,7116.0,7709851.0,,113.0,2390000000.0,2791000000.0,green
Other small states,2016,,51705282.0,,,,,red
Pacific island small states,2016,,2238966.0,,,1807559285.02518,2030665777.6751,green
Pakistan,2016,6893.0,9628354.0,500000000.0,,791000000.0,875000000.0,green
Palau,2016,,,,,148000000.0,,red
Panama,2016,2204.0,13285098.0,,30.0,6455000000.0,6865000000.0,green
Papua New Guinea,2016,,1711274.0,0.0,6.0,1600000.0,15300000.0,green
Paraguay,2016,623.0,467713.0,600000000.0,,356000000.0,399000000.0,green
Peru,2016,75397.0,15081755.0,458481000.0,217.0,4303000000.0,4573000000.0,green
Philippines,2016,21735.0,40206684.0,-2498873000.0,262.0,6289000000.0,8349000000.0,green
Poland,2016,43523.0,5497163.0,,861.0,12052000000.0,14083000000.0,green
Portugal,2016,33641.0,13105120.0,,45.0,17184000000.0,21099000000.0,green
Puerto Rico,2016,,,,,3985000000.0,4090000000.0,green
Qatar,2016,,31209097.0,,44.0,12593000000.0,15757000000.0,green
Romania,2016,73889.0,3686938.0,1916859000.0,84.0,2172000000.0,2999000000.0,green
Russian Federation,2016,433464.0,77458318.0,16109463000.0,242.0,12820000000.0,14983000000.0,green
Rwanda,2016,13120.0,644559.0,0.0,,470000000.0,616000000.0,green
Samoa,2016,114.0,116167.0,0.0,,148700000.0,169000000.0,green
San Marino,2016,,,,,,,red
Sao Tome and Principe,2016,,,0.0,,69100000.0,65900000.0,red
Saudi Arabia,2016,9726.0,35092840.0,,176.0,13438000000.0,14848000000.0,green
Senegal,2016,3418.0,9874.0,0.0,,,,red
Serbia,2016,8236.0,2486009.0,165526000.0,,1460000000.0,1705000000.0,green
Seychelles,2016,,567914.0,,8.0,505000000.0,585000000.0,green
Sierra Leone,2016,1082.0,,0.0,,41000000.0,,red
Singapore,2016,35021.0,35370328.0,,479.0,18945000000.0,19707000000.0,green
Sint Maarten (Dutch part),2016,,,,,871000000.0,646000000.0,red
Slovak Republic,2016,18007.0,12928.0,,,2802000000.0,2995000000.0,green
Slovenia,2016,4309.0,1009559.0,,38.0,2627000000.0,2952000000.0,green
Small states,2016,,59930507.0,,,,,red
Solomon Islands,2016,,373467.0,0.0,,71000000.0,79000000.0,green
Somalia,2016,,4486.0,0.0,,,,red
South Africa,2016,376727.0,19744932.0,2831281000.0,303.0,8807000000.0,9699000000.0,green
South Sudan,2016,1765.0,,,,23500000.0,26000000.0,green
Spain,2016,99231.0,66674868.0,,3480.0,60605000000.0,68437000000.0,green
Sri Lanka,2016,,5284585.0,1557627000.0,295.0,4591000000.0,5083000000.0,green
St. Kitts and Nevis,2016,,,,,327000000.0,354000000.0,green
St. Lucia,2016,332.0,,-5369000.0,,776000000.0,801000000.0,green
St. Martin (French part),2016,,,,,,,red
St. Vincent and the Grenadines,2016,118.0,,0.0,,221300000.0,217400000.0,red
Sudan,2016,,292843.0,0.0,,1009000000.0,1029000000.0,green
Suriname,2016,523.0,280090.0,,,74000000.0,61000000.0,red
Sweden,2016,49960.0,,,,12764000000.0,14205000000.0,green
Switzerland,2016,24135.0,25859918.0,,227.0,19217000000.0,20134000000.0,green
