trade_date,td_year,td_month,td_day,td_weekday,td_week_number,td_year_week,open,high,low,close,volume,adj_close,return,short_ma,long_ma,label
2014-01-25,2014,1,25,Saturday,03,2014-03,916.55,978.41,915.86,961.05,7797108,961.05,0.048551633844307496,934.4457142857142,932.4079999999999,
2014-01-26,2014,1,26,Sunday,04,2014-04,961.05,1038.06,950.66,1007.0,13054605,1007.0,0.04781228864263043,939.2464285714284,935.2769230769229,
2014-01-27,2014,1,27,Monday,04,2014-04,1007.0,1021.45,937.23,943.54,8052715,943.54,-0.06301886792452838,940.7199999999999,935.5829629629629,
2014-01-28,2014,1,28,Tuesday,04,2014-04,943.54,972.61,911.65,932.68,9757613,932.68,-0.011509845899484894,941.6771428571427,935.4792857142857,
2014-01-29,2014,1,29,Wednesday,04,2014-04,932.68,950.56,918.86,925.67,5254878,925.67,-0.007515975468542213,940.5664285714284,935.1410344827585,
2014-01-30,2014,1,30,Thursday,04,2014-04,925.67,953.24,909.46,941.39,5026461,941.39,0.01698229390603556,942.5592857142856,935.3493333333332,
2014-01-31,2014,1,31,Friday,04,2014-04,941.39,954.71,924.59,938.85,4024749,938.85,-0.002698137859972971,945.7514285714285,935.4622580645159,
2014-02-01,2014,2,1,Saturday,04,2014-04,938.85,969.19,927.8,940.42,4118865,940.42,0.0016722586142621232,948.2299999999999,935.6171874999998,
2014-02-02,2014,2,2,Sunday,05,2014-05,940.42,959.38,934.41,953.31,1495327,953.31,0.013706641713276957,948.1235714285714,936.1533333333332,
2014-02-03,2014,2,3,Monday,05,2014-05,953.31,959.58,931.67,931.71,2601784,931.71,-0.022657897221260548,946.3921428571427,936.0226470588233,
2014-02-04,2014,2,4,Tuesday,05,2014-05,931.71,949.1,900.76,926.64,4250751,926.64,-0.00544160736709931,943.8514285714284,935.7545714285712,
2014-02-05,2014,2,5,Wednesday,05,2014-05,926.64,939.75,890.05,904.52,6865987,904.52,-0.023871190537857245,940.5349999999999,934.8869444444442,
2014-02-06,2014,2,6,Thursday,05,2014-05,904.52,908.77,800.93,828.87,15719958,828.87,-0.08363551939150049,932.3,932.0216216216215,
2014-02-07,2014,2,7,Friday,05,2014-05,828.87,833.07,651.73,695.65,36412212,695.65,-0.1607248422551184,916.5214285714285,925.8013157894736,
2014-02-08,2014,2,8,Saturday,05,2014-05,695.65,719.26,632.08,648.78,15503790,648.78,-0.06737583554948612,894.2164285714287,918.698205128205,
2014-02-09,2014,2,9,Sunday,06,2014-06,648.78,694.12,622.53,659.57,13186251,659.57,0.016631215512192155,869.4,912.2199999999999,
2014-02-10,2014,2,10,Monday,06,2014-06,659.57,700.04,500.04,582.63,24334044,582.63,-0.11665175796352178,843.6207142857141,904.181219512195,
2014-02-11,2014,2,11,Tuesday,06,2014-06,582.63,609.71,550.22,578.96,9621820,578.96,-0.006299023393920633,818.3549999999998,896.437857142857,
2014-02-12,2014,2,12,Wednesday,06,2014-06,578.96,585.12,511.9,531.13,11628634,531.13,-0.0826136520657732,790.1735714285712,887.9423255813952,
2014-02-13,2014,2,13,Thursday,06,2014-06,531.13,549.2,451.33,451.44,14394464,451.44,-0.15003859695366484,755.1771428571427,878.021818181818,
2014-02-14,2014,2,14,Friday,06,2014-06,451.44,500.03,302.18,427.68,25084223,427.68,-0.05263157894736836,718.6649999999998,868.0142222222221,
2014-02-15,2014,2,15,Saturday,06,2014-06,427.68,447.94,310.08,371.07,18299075,371.07,-0.13236531986531985,677.9971428571426,857.2110869565215,
2014-02-16,2014,2,16,Sunday,07,2014-07,371.07,540.03,220.37,299.8,26267622,299.8,-0.1920661869728083,631.317857142857,845.3512765957446,
2014-02-17,2014,2,17,Monday,07,2014-07,299.8,411.21,263.36,272.28,16532226,272.28,-0.09179452968645774,584.2157142857142,833.4122916666665,
2014-02-18,2014,2,18,Tuesday,07,2014-07,272.28,370.12,248.31,293.95,14130126,293.95,0.07958718965770539,539.0235714285712,822.402857142857,
2014-02-19,2014,2,19,Wednesday,07,2014-07,293.95,308.63,257.24,261.53,8618299,261.53,-0.11029086579350234,493.09571428571405,811.1853999999998,
2014-02-20,2014,2,20,Thursday,07,2014-07,261.53,271.61,109.22,111.92,16608347,111.92,-0.5720567430122738,441.88499999999976,797.1049999999997,
2014-02-21,2014,2,21,Friday,07,2014-07,111.92,160.15,91.66,111.56,10115923,111.56,-0.0032165832737669486,400.16428571428554,782.1979999999996,
2014-02-22,2014,2,22,Saturday,07,2014-07,111.56,290.59,96.72,255.59,11838225,255.59,1.2910541412692722,372.07928571428556,769.6245999999995,
2014-02-23,2014,2,23,Sunday,08,2014-08,255.59,349.15,220.31,310.17,11158706,310.17,0.2135451308736649,347.1221428571427,757.3341999999994,
2014-02-24,2014,2,24,Monday,08,2014-08,310.17,316.88,131.85,174.0,17929284,174.0,-0.43901731308637204,317.9342857142856,740.5193999999995,
2014-02-25,2014,2,25,Tuesday,08,2014-08,174.0,174.64,102.33,135.78,3993023,135.78,-0.21965517241379307,286.2785714285713,722.9819999999994,
2014-02-26,2014,2,26,Wednesday,08,2014-08,135.78,650.0,522.84,593.14,383571,593.14,3.3683900427161584,290.707857142857,717.2467999999993,
2014-02-27,2014,2,27,Thursday,08,2014-08,593.14,629.9,580.5,596.49,322887,596.49,0.005647907745220282,301.0685714285713,710.3997999999993,
2014-02-28,2014,2,28,Friday,08,2014-08,596.49,599.0,570.0,573.94,321170,573.94,-0.03780448959747851,311.5157142857141,703.1395999999995,
2014-03-01,2014,3,1,Saturday,08,2014-08,573.94,564.07,262.77,557.39,250331,557.39,-0.028835766804892637,324.82428571428557,695.1321999999994,
2014-03-02,2014,3,2,Sunday,09,2014-09,557.39,562.93,541.54,544.56,469498,544.56,-0.02301799458189069,342.30714285714276,685.9169999999993,
2014-03-03,2014,3,3,Monday,09,2014-09,544.56,695.44,545.42,662.18,794976,662.18,0.21599089172910246,370.1571428571428,680.3647999999994,
2014-03-04,2014,3,4,Tuesday,09,2014-09,662.18,686.22,645.16,661.85,947328,661.85,-0.0004983539218942346,396.43571428571425,675.1435999999993,
2014-03-05,2014,3,5,Wednesday,09,2014-09,661.85,665.97,636.77,658.3,855787,658.3,-0.005363753116265135,424.77642857142854,669.9239999999994,
2014-03-06,2014,3,6,Thursday,09,2014-09,658.3,661.83,636.22,648.26,1367401,648.26,-0.015251405134437124,463.0864285714286,664.0647999999994,
2014-03-07,2014,3,7,Friday,09,2014-09,648.26,655.2,600.31,616.73,1498290,616.73,-0.04863789220374537,499.17,658.1295999999995,
2014-03-08,2014,3,8,Saturday,09,2014-09,616.73,625.68,588.58,609.21,1335982,609.21,-0.012193342305384824,524.4285714285714,652.4305999999995,
2014-03-09,2014,3,9,Sunday,10,2014-10,609.21,637.6,598.51,627.05,1209993,627.05,0.02928382659509854,547.0628571428572,646.8571999999995,
2014-03-10,2014,3,10,Monday,10,2014-10,627.05,633.68,594.7,612.97,1648979,612.97,-0.022454349732876078,578.4178571428572,640.0205999999995,
2014-03-11,2014,3,11,Tuesday,10,2014-10,612.97,619.7,599.92,608.69,1520733,608.69,-0.0069823971809386265,612.1971428571429,633.0753999999994,
2014-03-12,2014,3,12,Wednesday,10,2014-10,608.69,640.79,608.2,619.43,2022394,619.43,0.017644449555602737,614.075,626.2197999999994,
2014-03-13,2014,3,13,Thursday,10,2014-10,619.43,636.13,616.06,625.04,2168407,625.04,0.009056713430088958,616.1142857142858,619.7015999999994,
2014-03-14,2014,3,14,Friday,10,2014-10,625.04,631.23,610.61,614.03,2514218,614.03,-0.017614872648150537,618.9778571428571,613.0989999999995,
2014-03-15,2014,3,15,Saturday,10,2014-10,614.03,628.83,609.18,624.03,2168732,624.03,0.01628584922560794,623.7378571428573,607.2485999999994,
2014-03-16,2014,3,16,Sunday,11,2014-11,624.03,627.28,613.17,619.14,2055390,619.14,-0.007836161722994062,629.0650000000002,600.4103999999994,
2014-03-17,2014,3,17,Monday,11,2014-11,619.14,622.49,602.74,606.38,2227123,606.38,-0.020609232160739066,625.0792857142858,592.3979999999995,
2014-03-18,2014,3,18,Tuesday,11,2014-11,606.38,611.72,585.66,598.93,2234320,598.93,-0.012286025264685585,620.585,585.5057999999995,
2014-03-19,2014,3,19,Wednesday,11,2014-11,598.93,607.08,590.14,594.96,2164735,594.96,-0.006628487469320099,616.0607142857144,578.7513999999994,
2014-03-20,2014,3,20,Thursday,11,2014-11,594.96,598.41,560.35,565.99,2471474,565.99,-0.048692349065483476,610.1842857142858,571.5577999999995,
2014-03-21,2014,3,21,Friday,11,2014-11,565.99,587.42,540.22,549.6,2173864,549.6,-0.028958108800508864,605.3892857142858,563.7219999999994,
2014-03-22,2014,3,22,Saturday,11,2014-11,549.6,569.96,537.16,564.34,2078360,564.34,0.026819505094614282,602.1842857142858,556.2317999999995,
2014-03-23,2014,3,23,Sunday,12,2014-12,564.34,564.32,538.63,551.16,2286135,551.16,-0.023354715242584367,596.7635714285716,548.4465999999995,
2014-03-24,2014,3,24,Monday,12,2014-12,551.16,572.52,531.27,567.56,2024402,567.56,0.029755424921982687,593.5200000000002,540.7315999999995,
2014-03-25,2014,3,25,Tuesday,12,2014-12,567.56,569.66,550.43,562.89,2172190,562.89,-0.008228204947494433,590.2485714285715,533.3551999999995,
2014-03-26,2014,3,26,Wednesday,12,2014-12,562.89,575.42,546.26,562.45,2087611,562.45,-0.0007816802572437886,586.1785714285716,526.0713999999996,
2014-03-27,2014,3,27,Thursday,12,2014-12,562.45,567.75,460.45,460.45,2010894,460.45,-0.1813494532847365,574.4221428571431,517.1899999999996,
2014-03-28,2014,3,28,Friday,12,2014-12,460.45,514.95,453.75,482.61,2022261,482.61,0.04812683244651983,565.0350000000002,510.2647999999996,
2014-03-29,2014,3,29,Saturday,12,2014-12,482.61,494.28,473.78,477.11,2087784,477.11,-0.011396365595408353,554.5407142857144,505.89399999999955,
2014-03-30,2014,3,30,Sunday,13,2014-13,477.11,479.04,424.03,446.92,1769770,446.92,-0.06327681247511052,542.2392857142858,501.85679999999957,
2014-03-30,2014,3,30,Sunday,13,2014-13,446.92,473.43,422.49,444.66,1850592,444.66,-0.005056833437751651,530.6878571428572,497.55859999999956,
2014-03-31,2014,3,31,Monday,13,2014-13,444.66,487.35,438.03,463.45,1845836,463.45,0.042257005352404065,521.0107142857144,495.17499999999956,
2014-04-01,2014,4,1,Tuesday,13,2014-13,463.45,480.27,409.25,424.37,2004152,424.37,-0.08432409105620886,508.8257142857143,492.0831999999996,
2014-04-02,2014,4,2,Wednesday,13,2014-13,424.37,448.74,386.67,436.31,1708540,436.31,0.028135824869806925,499.56285714285724,490.18679999999955,
2014-04-03,2014,4,3,Thursday,13,2014-13,436.31,456.46,415.51,444.36,1127311,444.36,0.01845018450184499,492.0457142857143,490.0451999999996,
2014-04-04,2014,4,4,Friday,13,2014-13,444.36,461.17,439.37,456.63,529964,456.63,0.0276127464218201,484.3521428571429,490.62419999999963,
2014-04-05,2014,4,5,Saturday,13,2014-13,456.63,472.38,446.3,455.69,1644846,455.69,-0.0020585594463788937,477.53285714285715,492.3165999999996,
2014-04-06,2014,4,6,Sunday,14,2014-14,455.69,485.06,447.98,462.38,1847982,462.38,0.014681033158506773,470.02000000000004,495.56819999999965,
2014-04-07,2014,4,7,Monday,14,2014-14,462.38,480.69,457.57,466.56,1839605,466.56,0.009040183398935975,463.1392857142858,499.45379999999966,
2014-04-08,2014,4,8,Tuesday,14,2014-14,466.56,479.66,451.07,457.34,1809262,457.34,-0.01976165980795619,455.63142857142867,502.7215999999997,
2014-04-09,2014,4,9,Wednesday,14,2014-14,457.34,463.45,384.63,384.63,1547153,384.63,-0.15898456290724616,450.2157142857144,505.18359999999973,
2014-04-10,2014,4,10,Thursday,14,2014-14,384.63,450.4,355.71,435.14,2175242,435.14,0.13132100980162753,446.82500000000016,511.64799999999974,
2014-04-11,2014,4,11,Friday,14,2014-14,435.14,469.83,428.02,437.65,2293511,437.65,0.005768258491519962,444.0064285714287,518.1697999999998,
2014-04-12,2014,4,12,Saturday,14,2014-14,437.65,454.15,409.85,427.6,2143146,427.6,-0.022963555352450538,442.62642857142873,521.6099999999997,
2014-04-13,2014,4,13,Sunday,15,2014-15,427.6,497.83,420.08,478.38,3546258,478.38,0.11875584658559402,445.0350000000002,524.9741999999998,
2014-04-14,2014,4,14,Monday,15,2014-15,478.38,526.63,466.43,526.43,3945871,526.43,0.10044316233956252,449.53357142857163,532.0227999999997,
